Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0032,Mission-32,2025-08-06,Star,Betelgeuse,Colonization,30.2,17.4,322.39,89.2,96,100.0,3092.37,58.12,Starship
MSN-0033,Mission-33,2025-08-13,Star,Proxima b,Mining,12.34,9.0,186.02,66.1,39,89.3,1262.41,35.2,SLS
MSN-0034,Mission-34,2025-08-20,Planet,Io,Colonization,19.53,11.9,408.68,61.2,70,100.0,1900.52,80.5,Ariane 6
MSN-0035,Mission-35,2025-08-27,Asteroid,Mars,Exploration,14.51,12.1,313.28,65.9,1,100.0,1519.13,54.49,SLS
MSN-0036,Mission-36,2025-09-03,Exoplanet,Io,Colonization,17.85,11.2,73.61,28.1,23,84.2,1867.03,8.85,Starship
MSN-0037,Mission-37,2025-09-10,Asteroid,Proxima b,Research,35.98,19.4,316.4,45.6,39,95.4,3755.6,57.02,Ariane 6
MSN-0038,Mission-38,2025-09-17,Exoplanet,Proxima b,Research,14.93,10.6,493.74,13.6,57,100.0,1436.83,90.89,Ariane 6
MSN-0039,Mission-39,2025-09-24,Planet,Europa,Mining,28.36,15.4,236.61,52.8,81,90.6,2848.14,40.23,Ariane 6
MSN-0040,Mission-40,2025-10-01,Moon,Europa,Exploration,23.85,13.4,193.59,58.9,34,84.3,2280.9,30.34,SLS
MSN-0041,Mission-41,2025-10-08,Star,Io,Research,33.22,18.5,79.75,30.5,41,71.3,3349.66,15.2,Starship
MSN-0042,Mission-42,2025-10-15,Planet,Titan,Research,46.85,26.3,117.58,96.8,93,83.9,4657.59,15.99,Ariane 6
MSN-0043,Mission-43,2025-10-22,Star,Io,Exploration,36.66,21.1,261.89,91.9,73,92.8,3762.17,43.84,Falcon Heavy
MSN-0044,Mission-44,2025-10-29,Moon,Europa,Colonization,10.83,9.6,314.87,75.0,13,100.0,1044.27,59.97,Starship
MSN-0045,Mission-45,2025-11-05,Moon,Proxima b,Colonization,1.66,4.8,77.28,58.0,70,82.7,81.54,8.98,Falcon Heavy
MSN-0046,Mission-46,2025-11-12,Planet,Ceres,Mining,13.19,9.3,486.49,88.3,6,100.0,1295.44,94.02,Falcon Heavy
MSN-0047,Mission-47,2025-11-19,Moon,Io,Colonization,29.79,17.2,426.74,21.8,84,100.0,2880.23,75.76,Ariane 6
MSN-0048,Mission-48,2025-11-26,Exoplanet,Proxima b,Exploration,2.67,3.6,298.04,81.1,52,100.0,304.55,59.08,Ariane 6
MSN-0049,Mission-49,2025-12-03,Moon,Ceres,Research,24.87,16.5,444.51,21.2,3,100.0,2383.75,83.02,SLS
MSN-0050,Mission-50,2025-12-10,Star,Ceres,Colonization,29.88,16.1,53.86,81.5,81,73.0,2989.42,8.94,SLS
MSN-0051,Mission-51,2025-12-17,Star,Europa,Mining,16.78,9.4,276.95,34.8,63,93.8,1574.11,48.21,SLS
MSN-0052,Mission-52,2025-12-24,Star,Io,Colonization,38.57,23.5,326.52,88.9,49,100.0,3840.99,63.38,Starship
MSN-0053,Mission-53,2025-12-31,Star,Betelgeuse,Exploration,5.42,5.6,427.73,95.0,76,100.0,624.17,83.04,SLS
MSN-0054,Mission-54,2026-01-07,Exoplanet,Mars,Mining,3.85,3.4,418.02,23.4,47,100.0,403.03,78.56,Falcon Heavy
MSN-0055,Mission-55,2026-01-14,Asteroid,Europa,Colonization,36.44,20.2,187.98,51.6,55,84.7,3600.83,28.43,SLS
MSN-0056,Mission-56,2026-01-21,Planet,Europa,Mining,24.83,17.1,482.12,98.3,64,100.0,2481.44,94.15,Ariane 6
MSN-0057,Mission-57,2026-01-28,Star,Betelgeuse,Exploration,34.45,21.7,74.62,53.5,65,74.6,3445.9,13.31,SLS
MSN-0058,Mission-58,2026-02-04,Moon,Mars,Research,21.8,14.7,476.39,87.7,81,100.0,2203.63,87.64,Starship
MSN-0059,Mission-59,2026-02-11,Star,Proxima b,Exploration,12.4,9.1,511.13,63.0,67,100.0,1171.66,97.12,Starship
MSN-0060,Mission-60,2026-02-18,Moon,Titan,Exploration,40.97,23.6,138.38,43.8,90,83.8,4126.63,18.54,Falcon Heavy
MSN-0061,Mission-61,2026-02-25,Moon,Io,Exploration,39.99,24.9,370.58,35.7,15,98.6,3863.78,72.48,Starship
MSN-0062,Mission-62,2026-03-04,Star,Titan,Exploration,34.77,22.2,57.6,28.3,32,70.2,3445.51,4.99,SLS
MSN-0063,Mission-63,2026-03-11,Exoplanet,Proxima b,Research,13.68,8.7,218.11,78.6,96,95.2,1343.59,41.14,Ariane 6
MSN-0064,Mission-64,2026-03-18,Moon,Europa,Research,29.55,19.0,269.23,44.8,68,99.9,2986.67,52.11,Starship
MSN-0065,Mission-65,2026-03-25,Moon,Mars,Mining,18.11,10.8,326.89,56.0,18,100.0,1812.13,58.48,Falcon Heavy
MSN-0066,Mission-66,2026-04-01,Star,Europa,Colonization,4.67,4.2,498.39,54.3,83,100.0,396.72,93.66,SLS
MSN-0067,Mission-67,2026-04-08,Moon,Ceres,Research,45.87,26.6,375.74,62.0,43,100.0,4537.75,67.55,Falcon Heavy
MSN-0068,Mission-68,2026-04-15,Moon,Europa,Research,6.93,6.1,259.41,87.9,35,94.1,702.93,48.65,Starship
MSN-0069,Mission-69,2026-04-22,Star,Europa,Colonization,47.52,28.5,428.75,98.3,78,100.0,4748.05,81.16,Starship
MSN-0070,Mission-70,2026-04-29,Star,Proxima b,Research,22.36,12.5,496.37,46.7,58,100.0,2207.04,95.1,Falcon Heavy
MSN-0071,Mission-71,2026-05-06,Planet,Proxima b,Exploration,9.34,7.7,65.12,84.5,33,74.0,909.96,3.18,SLS
MSN-0072,Mission-72,2026-05-13,Exoplanet,Proxima b,Exploration,27.14,18.2,506.67,78.8,14,100.0,2748.81,98.27,Starship
MSN-0073,Mission-73,2026-05-20,Exoplanet,Titan,Colonization,43.66,26.4,63.1,61.6,34,77.6,4340.12,9.53,Ariane 6
MSN-0074,Mission-74,2026-05-27,Moon,Ceres,Mining,36.64,19.9,426.47,96.0,61,100.0,3659.6,81.62,Starship
MSN-0075,Mission-75,2026-06-03,Exoplanet,Proxima b,Mining,40.35,22.6,172.42,28.0,4,84.7,4143.5,28.75,SLS
MSN-0076,Mission-76,2026-06-10,Moon,Mars,Colonization,32.97,20.0,83.81,19.8,88,85.0,3225.82,14.09,Starship
MSN-0077,Mission-77,2026-06-17,Planet,Titan,Colonization,34.64,19.0,268.6,86.9,59,100.0,3371.41,44.55,Falcon Heavy
MSN-0078,Mission-78,2026-06-24,Star,Betelgeuse,Exploration,42.47,26.1,337.77,49.5,29,100.0,4286.18,64.75,Starship
MSN-0079,Mission-79,2026-07-01,Star,Mars,Mining,12.56,10.9,238.44,86.2,83,87.5,1222.07,38.71,Starship
MSN-0080,Mission-80,2026-07-08,Star,Io,Research,24.52,13.9,38.07,90.4,6,74.9,2436.09,6.4,SLS
MSN-0081,Mission-81,2026-07-15,Exoplanet,Io,Exploration,11.14,7.1,334.92,15.6,97,100.0,1074.94,60.35,Falcon Heavy
MSN-0082,Mission-82,2026-07-22,Planet,Mars,Colonization,49.38,26.0,497.14,89.5,49,100.0,4925.01,90.34,SLS
MSN-0083,Mission-83,2026-07-29,Exoplanet,Proxima b,Mining,47.21,28.2,203.97,50.3,40,97.2,4800.93,38.94,Starship
MSN-0084,Mission-84,2026-08-05,Exoplanet,Betelgeuse,Research,2.07,2.8,160.55,55.9,83,92.5,247.11,22.42,Ariane 6
MSN-0085,Mission-85,2026-08-12,Planet,Betelgeuse,Research,35.31,20.3,247.29,66.4,65,100.0,3574.11,44.82,Starship
MSN-0086,Mission-86,2026-08-19,Planet,Titan,Exploration,46.27,25.9,76.29,93.4,69,79.2,4556.19,5.79,SLS
MSN-0087,Mission-87,2026-08-26,Planet,Betelgeuse,Mining,9.11,8.0,445.31,11.7,27,100.0,853.44,82.23,Ariane 6
MSN-0088,Mission-88,2026-09-02,Planet,Io,Mining,28.44,15.5,429.83,52.9,80,100.0,2702.05,82.81,SLS
MSN-0089,Mission-89,2026-09-09,Star,Ceres,Colonization,45.78,24.8,306.28,71.9,6,100.0,4537.53,59.21,SLS
MSN-0090,Mission-90,2026-09-16,Asteroid,Proxima b,Mining,1.79,5.6,195.68,75.0,13,87.1,226.84,35.96,Falcon Heavy
MSN-0091,Mission-91,2026-09-23,Asteroid,Betelgeuse,Mining,34.9,22.1,406.46,72.3,64,100.0,3515.85,80.18,Ariane 6
MSN-0092,Mission-92,2026-09-30,Planet,Titan,Exploration,14.94,11.6,287.6,22.1,62,100.0,1482.92,55.91,Starship
MSN-0093,Mission-93,2026-10-07,Asteroid,Io,Mining,46.23,24.2,419.98,36.9,99,100.0,4621.88,82.77,SLS
MSN-0094,Mission-94,2026-10-14,Asteroid,Ceres,Research,48.56,26.6,339.27,42.3,19,100.0,4821.56,63.51,Starship
MSN-0095,Mission-95,2026-10-21,Planet,Europa,Exploration,47.22,27.1,433.28,82.4,76,100.0,4732.24,78.66,Falcon Heavy
MSN-0096,Mission-96,2026-10-28,Asteroid,Europa,Exploration,23.76,14.0,309.23,35.1,80,90.0,2414.29,60.26,Falcon Heavy
MSN-0097,Mission-97,2026-11-04,Exoplanet,Ceres,Colonization,43.12,26.2,217.39,29.0,43,99.4,4231.21,42.0,Ariane 6
MSN-0098,Mission-98,2026-11-11,Moon,Io,Mining,42.24,24.7,511.73,96.2,74,100.0,4238.98,95.84,Falcon Heavy
MSN-0099,Mission-99,2026-11-18,Moon,Titan,Colonization,16.02,9.3,283.51,10.8,89,96.1,1648.62,54.57,Falcon Heavy
MSN-0100,Mission-100,2026-11-25,Planet,Ceres,Research,41.46,25.4,310.28,99.8,20,100.0,4125.24,60.9,Starship
MSN-0101,Mission-101,2026-12-02,Star,Proxima b,Exploration,1.95,5.8,123.33,70.9,95,82.3,230.04,22.83,Falcon Heavy
MSN-0102,Mission-102,2026-12-09,Planet,Proxima b,Exploration,29.85,16.2,360.96,84.6,68,100.0,3125.73,62.94,Falcon Heavy
MSN-0103,Mission-103,2026-12-16,Star,Europa,Exploration,11.58,8.9,329.2,36.5,44,100.0,1152.78,57.59,SLS
MSN-0104,Mission-104,2026-12-23,Moon,Betelgeuse,Research,6.12,5.3,114.85,11.3,23,74.5,631.67,19.3,Falcon Heavy
MSN-0105,Mission-105,2026-12-30,Planet,Titan,Research,3.94,4.5,67.64,76.4,2,79.7,357.1,6.9,SLS
MSN-0106,Mission-106,2027-01-06,Exoplanet,Europa,Colonization,34.84,19.1,331.48,85.1,22,100.0,3493.06,60.83,Falcon Heavy
MSN-0107,Mission-107,2027-01-13,Asteroid,Betelgeuse,Colonization,17.06,11.8,417.23,76.6,57,100.0,1729.01,76.61,Falcon Heavy
MSN-0108,Mission-108,2027-01-20,Star,Betelgeuse,Colonization,36.27,23.0,298.55,22.9,72,96.2,3636.74,52.82,Ariane 6
MSN-0109,Mission-109,2027-01-27,Asteroid,Proxima b,Mining,3.36,4.7,149.06,77.8,7,93.6,285.02,23.45,Ariane 6
MSN-0110,Mission-110,2027-02-03,Asteroid,Io,Exploration,15.83,9.2,348.99,79.2,78,100.0,1593.32,66.99,SLS
MSN-0111,Mission-111,2027-02-10,Planet,Mars,Exploration,27.02,17.0,47.56,69.3,56,71.1,2775.11,8.93,Falcon Heavy
MSN-0112,Mission-112,2027-02-17,Asteroid,Io,Colonization,39.56,22.1,247.02,79.0,67,88.0,3978.43,44.74,Starship
MSN-0113,Mission-113,2027-02-24,Exoplanet,Mars,Exploration,16.01,12.4,130.51,86.1,16,81.1,1649.1,17.17,Ariane 6
MSN-0114,Mission-114,2027-03-03,Asteroid,Ceres,Colonization,31.33,18.4,125.21,65.2,83,84.7,3121.15,19.26,Starship
MSN-0115,Mission-115,2027-03-10,Planet,Proxima b,Mining,44.31,23.9,146.94,18.0,51,85.9,4468.5,21.03,Ariane 6
MSN-0116,Mission-116,2027-03-17,Exoplanet,Betelgeuse,Mining,30.83,17.2,245.99,53.9,82,100.0,3096.96,39.28,Ariane 6
MSN-0117,Mission-117,2027-03-24,Moon,Titan,Research,11.72,9.9,39.32,17.0,80,77.9,1124.45,6.06,Falcon Heavy
MSN-0118,Mission-118,2027-03-31,Asteroid,Mars,Mining,1.32,2.7,236.8,46.7,72,98.5,147.93,40.38,Ariane 6
MSN-0119,Mission-119,2027-04-07,Planet,Io,Colonization,43.52,25.8,292.34,46.6,97,100.0,4302.42,51.66,Starship
MSN-0120,Mission-120,2027-04-14,Moon,Betelgeuse,Mining,1.16,2.4,293.27,15.9,12,92.4,84.36,48.85,Ariane 6
MSN-0121,Mission-121,2027-04-21,Moon,Mars,Research,43.75,24.2,243.79,41.4,53,93.4,4384.47,38.9,SLS
MSN-0122,Mission-122,2027-04-28,Star,Mars,Exploration,26.49,16.1,455.05,20.0,75,100.0,2663.86,84.08,Falcon Heavy
MSN-0123,Mission-123,2027-05-05,Exoplanet,Mars,Colonization,46.96,28.3,89.89,82.7,5,78.7,4636.54,15.39,Falcon Heavy
MSN-0124,Mission-124,2027-05-12,Asteroid,Titan,Exploration,39.96,24.7,295.43,95.3,27,100.0,4048.7,51.06,SLS
MSN-0125,Mission-125,2027-05-19,Planet,Proxima b,Research,49.9,26.8,41.94,16.5,12,72.6,5018.6,7.14,SLS
MSN-0126,Mission-126,2027-05-26,Star,Titan,Research,17.6,11.2,79.45,96.0,17,72.8,1724.76,8.04,SLS
MSN-0127,Mission-127,2027-06-02,Exoplanet,Europa,Research,38.38,20.8,334.65,57.0,6,100.0,3761.12,57.81,Ariane 6
MSN-0128,Mission-128,2027-06-09,Star,Betelgeuse,Exploration,20.16,13.1,304.96,37.0,97,100.0,2008.75,57.04,Falcon Heavy
MSN-0129,Mission-129,2027-06-16,Exoplanet,Proxima b,Exploration,24.05,14.9,471.55,16.9,5,100.0,2382.7,87.93,SLS
MSN-0130,Mission-130,2027-06-23,Exoplanet,Proxima b,Exploration,31.41,20.3,303.23,55.1,57,99.1,3146.66,56.23,Ariane 6
MSN-0131,Mission-131,2027-06-30,Asteroid,Proxima b,Exploration,43.7,26.6,502.55,81.5,28,100.0,4351.84,96.02,SLS
MSN-0132,Mission-132,2027-07-07,Exoplanet,Io,Research,49.21,27.1,45.31,73.6,78,80.1,4820.63,5.82,Starship
MSN-0133,Mission-133,2027-07-14,Star,Proxima b,Research,38.44,22.2,91.84,14.5,69,77.7,3824.58,10.7,Starship
MSN-0134,Mission-134,2027-07-21,Exoplanet,Titan,Colonization,20.95,15.1,73.67,16.6,59,84.6,2079.72,5.36,Falcon Heavy
MSN-0135,Mission-135,2027-07-28,Asteroid,Proxima b,Colonization,21.13,14.8,143.8,46.3,33,92.0,2144.68,19.34,Ariane 6
MSN-0136,Mission-136,2027-08-04,Asteroid,Ceres,Exploration,36.91,19.5,282.51,36.6,62,97.8,3656.09,54.59,Starship
MSN-0137,Mission-137,2027-08-11,Star,Betelgeuse,Mining,12.01,8.3,368.41,30.9,50,100.0,1284.93,64.91,Starship
MSN-0138,Mission-138,2027-08-18,Moon,Proxima b,Mining,5.61,5.5,64.68,35.3,19,66.0,465.42,5.51,Ariane 6
MSN-0139,Mission-139,2027-08-25,Moon,Betelgeuse,Research,17.8,10.8,486.64,82.3,86,100.0,1845.56,94.65,SLS
MSN-0140,Mission-140,2027-09-01,Exoplanet,Ceres,Research,14.43,9.0,426.15,93.6,69,100.0,1431.78,84.37,Ariane 6
MSN-0141,Mission-141,2027-09-08,Planet,Ceres,Research,14.89,8.6,165.93,46.5,66,93.5,1531.98,30.36,SLS
MSN-0142,Mission-142,2027-09-15,Exoplanet,Betelgeuse,Colonization,11.76,9.5,88.9,91.5,94,79.5,1179.99,8.64,Starship
MSN-0143,Mission-143,2027-09-22,Star,Mars,Colonization,2.2,3.2,121.13,38.9,47,84.1,276.98,17.82,Starship
MSN-0144,Mission-144,2027-09-29,Star,Europa,Research,0.99,1.7,104.18,52.9,39,69.3,79.63,13.57,Starship
MSN-0145,Mission-145,2027-10-06,Star,Io,Research,49.39,26.6,79.65,30.3,68,72.0,4884.07,13.21,Falcon Heavy
MSN-0146,Mission-146,2027-10-13,Star,Mars,Research,21.45,14.9,297.95,67.6,33,100.0,2216.03,52.34,Falcon Heavy
MSN-0147,Mission-147,2027-10-20,Star,Mars,Mining,19.28,14.0,129.08,98.1,13,84.3,1922.33,25.34,Falcon Heavy
MSN-0148,Mission-148,2027-10-27,Asteroid,Titan,Colonization,34.01,19.9,201.69,64.3,84,89.4,3412.08,36.46,Ariane 6
MSN-0149,Mission-149,2027-11-03,Moon,Io,Mining,10.99,8.2,526.51,42.2,54,100.0,1160.74,98.96,Starship
MSN-0150,Mission-150,2027-11-10,Star,Io,Mining,47.5,28.7,351.91,68.3,7,100.0,4698.4,68.75,Starship
MSN-0151,Mission-151,2027-11-17,Planet,Mars,Research,39.34,21.5,516.08,21.1,79,100.0,3963.77,94.95,Ariane 6
MSN-0152,Mission-152,2027-11-24,Planet,Proxima b,Research,4.56,4.1,88.07,90.0,87,79.2,426.51,15.11,Falcon Heavy
MSN-0153,Mission-153,2027-12-01,Planet,Titan,Exploration,20.94,12.6,227.11,55.3,14,93.7,2087.39,38.83,Ariane 6
MSN-0154,Mission-154,2027-12-08,Planet,Titan,Exploration,43.97,23.7,300.45,50.4,87,100.0,4400.61,55.92,Falcon Heavy
MSN-0155,Mission-155,2027-12-15,Asteroid,Ceres,Mining,47.24,26.1,73.21,62.7,19,66.8,4648.99,8.6,Starship
MSN-0156,Mission-156,2027-12-22,Planet,Io,Colonization,23.42,16.4,13.32,66.2,54,74.7,2303.06,1.41,SLS
MSN-0157,Mission-157,2027-12-29,Star,Mars,Research,30.71,18.8,338.68,16.5,93,100.0,3138.55,67.37,Falcon Heavy
MSN-0158,Mission-158,2028-01-05,Exoplanet,Ceres,Research,8.43,6.9,368.27,71.4,20,100.0,887.31,64.54,Starship
MSN-0159,Mission-159,2028-01-12,Planet,Betelgeuse,Mining,49.56,29.5,222.56,31.8,29,89.0,4952.87,41.67,Starship
MSN-0160,Mission-160,2028-01-19,Asteroid,Europa,Exploration,11.66,7.0,288.51,74.3,24,98.6,1178.16,49.47,SLS
MSN-0161,Mission-161,2028-01-26,Asteroid,Titan,Colonization,47.14,25.4,260.62,84.0,82,99.6,4699.29,42.13,Starship
MSN-0162,Mission-162,2028-02-02,Planet,Betelgeuse,Exploration,32.52,19.5,28.26,82.4,63,88.4,3319.83,3.38,Starship
MSN-0163,Mission-163,2028-02-09,Exoplanet,Betelgeuse,Exploration,30.43,18.7,184.99,59.7,74,92.5,3032.98,34.2,Falcon Heavy
MSN-0164,Mission-164,2028-02-16,Planet,Proxima b,Exploration,25.68,14.0,126.13,56.8,57,78.4,2579.59,18.53,Falcon Heavy
MSN-0165,Mission-165,2028-02-23,Asteroid,Europa,Exploration,11.61,8.4,102.01,22.9,8,78.1,1218.3,10.74,SLS
MSN-0166,Mission-166,2028-03-01,Moon,Betelgeuse,Research,8.91,8.1,524.47,79.8,90,100.0,852.13,95.72,SLS
MSN-0167,Mission-167,2028-03-08,Star,Betelgeuse,Research,11.1,9.3,327.34,34.4,62,93.8,1187.94,60.34,Starship
MSN-0168,Mission-168,2028-03-15,Asteroid,Europa,Exploration,9.4,8.3,405.66,54.7,29,100.0,863.48,73.14,Falcon Heavy
MSN-0169,Mission-169,2028-03-22,Planet,Europa,Colonization,39.0,21.8,168.75,35.6,74,90.5,3981.48,32.22,SLS
MSN-0170,Mission-170,2028-03-29,Star,Betelgeuse,Mining,17.57,10.2,248.49,22.0,17,88.5,1738.37,39.92,SLS
MSN-0171,Mission-171,2028-04-05,Planet,Europa,Colonization,2.99,4.2,170.55,66.7,66,92.3,286.87,24.46,Ariane 6
MSN-0172,Mission-172,2028-04-12,Planet,Betelgeuse,Colonization,48.46,25.7,62.02,14.9,6,78.6,4751.5,10.6,SLS
MSN-0173,Mission-173,2028-04-19,Moon,Betelgeuse,Colonization,44.2,26.9,109.27,77.4,58,77.3,4397.26,18.72,Starship
MSN-0174,Mission-174,2028-04-26,Star,Proxima b,Exploration,46.39,26.1,405.66,38.6,69,100.0,4587.01,79.95,Falcon Heavy
MSN-0175,Mission-175,2028-05-03,Star,Mars,Research,49.75,27.1,354.71,10.0,28,100.0,4944.62,68.08,SLS
MSN-0176,Mission-176,2028-05-10,Moon,Betelgeuse,Colonization,8.78,8.5,316.73,56.0,62,100.0,871.13,55.15,Ariane 6
MSN-0177,Mission-177,2028-05-17,Asteroid,Ceres,Exploration,19.87,12.9,259.69,14.2,41,96.0,2034.89,48.03,Falcon Heavy
MSN-0178,Mission-178,2028-05-24,Planet,Titan,Colonization,37.94,21.2,466.93,34.9,69,100.0,3804.38,92.32,SLS
MSN-0179,Mission-179,2028-05-31,Exoplanet,Io,Colonization,34.83,21.7,58.77,73.6,82,76.3,3498.38,8.2,Ariane 6
MSN-0180,Mission-180,2028-06-07,Planet,Mars,Exploration,7.78,8.4,192.99,15.6,90,86.7,723.22,28.78,SLS
MSN-0181,Mission-181,2028-06-14,Planet,Mars,Research,40.81,24.1,210.05,85.5,84,80.5,4036.96,35.64,Falcon Heavy
MSN-0182,Mission-182,2028-06-21,Asteroid,Mars,Research,11.3,6.8,413.69,10.3,41,100.0,1219.94,78.46,Falcon Heavy
MSN-0183,Mission-183,2028-06-28,Planet,Proxima b,Mining,11.27,8.9,505.46,32.2,49,100.0,1090.24,99.26,Falcon Heavy
MSN-0184,Mission-184,2028-07-05,Moon,Betelgeuse,Exploration,26.9,17.5,173.47,76.7,91,89.3,2772.81,24.83,Starship
MSN-0185,Mission-185,2028-07-12,Moon,Proxima b,Mining,29.69,16.4,479.02,38.5,49,100.0,2956.85,87.56,SLS
MSN-0186,Mission-186,2028-07-19,Star,Betelgeuse,Mining,29.05,16.4,430.94,19.2,76,100.0,2905.11,83.23,Starship
MSN-0187,Mission-187,2028-07-26,Exoplanet,Proxima b,Mining,4.67,6.9,120.63,42.4,71,81.1,520.52,23.24,Falcon Heavy
MSN-0188,Mission-188,2028-08-02,Planet,Proxima b,Research,43.89,23.0,206.42,34.3,3,82.6,4452.59,40.53,Ariane 6
MSN-0189,Mission-189,2028-08-09,Planet,Titan,Exploration,13.35,10.7,214.7,85.8,10,100.0,1329.46,41.56,SLS
MSN-0190,Mission-190,2028-08-16,Asteroid,Ceres,Mining,6.56,6.2,518.66,38.2,98,100.0,636.59,97.84,Starship
MSN-0191,Mission-191,2028-08-23,Moon,Proxima b,Exploration,44.45,25.0,141.06,81.0,89,78.9,4442.2,18.91,SLS
MSN-0192,Mission-192,2028-08-30,Exoplanet,Titan,Exploration,47.79,24.9,425.94,90.3,35,100.0,4795.9,80.12,Ariane 6
MSN-0193,Mission-193,2028-09-06,Star,Europa,Research,43.12,25.8,212.75,49.0,80,97.7,4356.57,34.09,Starship
MSN-0194,Mission-194,2028-09-13,Moon,Ceres,Mining,40.49,22.7,389.65,91.9,2,100.0,4049.21,73.36,Falcon Heavy
